work_year,experience_level,employment_type,job_title,salary_in_usd,work_setting,company_location,company_size
2022,Entry,FT,Data Scientist,18442,Remote,India,M
2022,Senior,FT,Principal Data Scientist,162674,Remote,Germany,M
2022,Entry,FT,Data Engineer,120000,Remote,United States,M
2022,Senior,FT,Research Scientist,144000,Hybrid,United States,L
2022,Senior,FT,Data Scientist,104890,Remote,United States,M
2022,Senior,FT,Data Engineer,100000,Remote,United States,M
2022,Senior,FT,Data Scientist,140000,Remote,United States,M
2022,Mid,FT,Data Analyst,135000,Remote,United States,M
2022,Mid,FT,Data Analyst,50000,Remote,United States,M
2022,Senior,FT,Data Scientist,220000,Remote,United States,M
2022,Senior,FT,Data Scientist,140000,Remote,United States,M
2022,Mid,FT,Data Scientist,183228,In-person,United Kingdom,M
2022,Mid,FT,Data Scientist,91614,In-person,United Kingdom,M
2022,Senior,FT,Data Scientist,185100,Remote,United States,M
2022,Senior,FT,Machine Learning Engineer,220000,Remote,United States,M
2022,Mid,FT,Data Scientist,200000,Remote,United States,M
2022,Mid,FT,Data Scientist,120000,Remote,United States,M
2022,Senior,FT,Machine Learning Engineer,120000,Remote,United Arab Emirates,S
2022,Senior,FT,Machine Learning Engineer,65000,Remote,United Arab Emirates,S
2022,Executive,FT,Data Engineer,324000,Remote,United States,M
2022,Executive,FT,Data Engineer,216000,Remote,United States,M
2022,Senior,FT,Data Engineer,210000,Remote,United States,M
2022,Senior,FT,Machine Learning Engineer,120000,Remote,United States,M
2022,Senior,FT,Data Scientist,230000,Remote,United States,M
2022,Senior,FT,Head of Data,200000,Remote,United States,M
2022,Mid,FT,Principal Data Analyst,75000,Remote,Canada,S
2022,Mid,FT,Data Scientist,35590,Remote,Poland,L
2022,Senior,FT,Machine Learning Developer,78791,Remote,Canada,M
2022,Senior,FT,Data Scientist,100000,Remote,United States,M
2022,Mid,FT,Machine Learning Scientist,153000,Hybrid,United States,M
2022,Entry,FT,Data Engineer,58035,Remote,Germany,M
2022,Senior,FT,Data Scientist,165000,Remote,United States,M
2022,Senior,FT,Research Scientist,93427,Hybrid,France,L
2022,Entry,FT,Data Scientist,52396,Remote,Canada,L
2022,Senior,FT,Machine Learning Engineer,62651,Remote,Netherlands,L
2022,Mid,FT,Head of Data,32974,Remote,Estonia,S
2022,Entry,FT,Data Scientist,40000,Remote,Malaysia,L
2022,Mid,FT,Machine Learning Engineer,87425,Remote,Australia,L
2022,Senior,FT,Data Engineer,115000,Remote,United States,M
2022,Entry,FT,Data Scientist,86703,Hybrid,Australia,M
2022,Mid,FT,Applied Machine Learning Scientist,75000,Remote,United States,L
2022,Mid,FT,Research Scientist,64849,In-person,Austria,L
2022,Entry,FT,Research Scientist,120000,Remote,United States,L
2022,Mid,FT,Applied Data Scientist,157000,Remote,United States,L
2022,Entry,FT,Computer Vision Software Engineer,150000,Remote,Australia,S
2022,Mid,FT,Business Data Analyst,70912,Hybrid,Canada,L
2022,Entry,FT,Data Engineer,65000,Remote,United States,S
2022,Senior,FT,Machine Learning Engineer,71444,Remote,Ireland,S
2022,Entry,FT,Data Analytics Engineer,20000,In-person,Pakistan,M
2022,Mid,FT,Data Scientist,48000,Remote,United States,S
2022,Senior,FT,Data Science Manager,152500,Remote,United States,M
2022,Mid,FT,Data Engineer,68147,Remote,France,M
2022,Mid,FT,Data Scientist,122346,In-person,Switzerland,L
2022,Senior,FT,Applied Data Scientist,380000,Remote,United States,L
2022,Mid,FT,Data Scientist,69336,Remote,Canada,M
2022,Entry,FT,Computer Vision Engineer,10000,Remote,Luxembourg,M
2022,Mid,FT,Data Analyst,20000,Remote,Greece,S
2022,Senior,FT,Data Analytics Lead,405000,Remote,United States,L
2022,Mid,FT,Data Scientist,135000,Remote,United States,L
2022,Senior,FT,Applied Data Scientist,177000,Remote,United States,L
2022,Mid,FT,Data Scientist,78000,Remote,United States,M
2022,Senior,FT,Data Analyst,135000,Remote,United States,M
2022,Senior,FT,Data Analyst,100000,Remote,United States,M
2022,Senior,FT,Data Analyst,90320,Remote,United States,M
2022,Mid,FT,Data Analyst,85000,In-person,Canada,M
2022,Mid,FT,Data Analyst,75000,In-person,Canada,M
2022,Senior,FT,Machine Learning Engineer,214000,Remote,United States,M
2022,Senior,FT,Machine Learning Engineer,192600,Remote,United States,M
2022,Senior,FT,Data Architect,266400,Remote,United States,M
2022,Senior,FT,Data Architect,213120,Remote,United States,M
2022,Senior,FT,Data Analyst,112900,Remote,United States,M
2022,Senior,FT,Data Engineer,155000,Remote,United States,M
2022,Mid,FT,Data Scientist,141300,In-person,United States,M
2022,Mid,FT,Data Scientist,102100,In-person,United States,M
2022,Senior,FT,Data Analyst,115934,Remote,United States,M
2022,Senior,FT,Data Analyst,81666,Remote,United States,M
2022,Mid,FT,Data Engineer,206699,In-person,United States,M
2022,Mid,FT,Data Engineer,99100,In-person,United States,M
2022,Senior,FT,Data Engineer,130000,Remote,United States,M
2022,Senior,FT,Data Engineer,115000,Remote,United States,M
2022,Senior,FT,Data Engineer,110500,Remote,United States,M
2022,Senior,FT,Data Engineer,130000,Remote,United States,M
2022,Senior,FT,Data Analyst,99050,Remote,United States,M
2022,Senior,FT,Data Engineer,160000,Remote,United States,M
2022,Senior,FT,Data Scientist,205300,In-person,United States,L
2022,Senior,FT,Data Scientist,140400,In-person,United States,L
2022,Senior,FT,Data Scientist,176000,Remote,United States,M
2022,Senior,FT,Data Scientist,144000,Remote,United States,M
2022,Senior,FT,Data Engineer,200100,Remote,United States,M
2022,Senior,FT,Data Engineer,160000,Remote,United States,M
2022,Senior,FT,Data Engineer,145000,Remote,United States,M
2022,Senior,FT,Data Engineer,70500,In-person,United States,M
2022,Senior,FT,Data Scientist,205300,In-person,United States,M
2022,Senior,FT,Data Scientist,140400,In-person,United States,M
2022,Senior,FT,Analytics Engineer,205300,In-person,United States,M
2022,Senior,FT,Analytics Engineer,184700,In-person,United States,M
2022,Senior,FT,Data Engineer,175100,Remote,United States,M
2022,Senior,FT,Data Engineer,140250,Remote,United States,M
2022,Senior,FT,Data Analyst,116150,Remote,United States,M
2022,Senior,FT,Data Engineer,54000,In-person,United States,M
2022,Senior,FT,Data Analyst,170000,Remote,United States,M
2022,Mid,FT,Data Analyst,65438,In-person,United Kingdom,M
2022,Senior,FT,Data Analyst,80000,Remote,United States,M
2022,Senior,FT,Data Scientist,140000,Remote,United States,M
2022,Senior,FT,Data Scientist,210000,Remote,United States,M
2022,Senior,FT,Data Scientist,140000,Remote,United States,M
2022,Senior,FT,Data Analyst,100000,Remote,United States,M
2022,Senior,FT,Data Analyst,69000,Remote,United States,M
2022,Senior,FT,Data Scientist,210000,Remote,United States,M
2022,Senior,FT,Data Scientist,140000,Remote,United States,M
2022,Senior,FT,Data Scientist,210000,Remote,United States,M
2022,Senior,FT,Data Analyst,150075,Remote,United States,M
2022,Senior,FT,Data Engineer,100000,Remote,United States,M
2022,Senior,FT,Data Engineer,25000,Remote,United States,M
2022,Senior,FT,Data Analyst,126500,Remote,United States,M
2022,Senior,FT,Data Analyst,106260,Remote,United States,M
2022,Senior,FT,Data Engineer,220110,Remote,United States,M
2022,Senior,FT,Data Engineer,160080,Remote,United States,M
2022,Senior,FT,Data Analyst,105000,Remote,United States,M
2022,Senior,FT,Data Analyst,110925,Remote,United States,M
2022,Mid,FT,Data Analyst,45807,In-person,United Kingdom,M
2022,Senior,FT,Data Scientist,140000,Remote,United States,M
2022,Senior,FT,Data Analyst,99000,In-person,United States,M
2022,Senior,FT,Data Analyst,60000,Remote,United States,M
2022,Senior,FT,Data Architect,192564,Remote,United States,M
2022,Senior,FT,Data Architect,144854,Remote,United States,M
2022,Senior,FT,Data Scientist,230000,Remote,United States,M
2022,Senior,FT,Data Scientist,150000,Remote,United States,M
2022,Senior,FT,Data Analytics Manager,150260,Remote,United States,M
2022,Senior,FT,Data Analytics Manager,109280,Remote,United States,M
2022,Senior,FT,Data Scientist,210000,Remote,United States,M
2022,Senior,FT,Data Analyst,170000,Remote,United States,M
2022,Mid,FT,Data Scientist,160000,Remote,United States,M
2022,Mid,FT,Data Scientist,130000,Remote,United States,M
2022,Entry,FT,Data Analyst,67000,In-person,Canada,M
2022,Entry,FT,Data Analyst,52000,In-person,Canada,M
2022,Senior,FT,Data Engineer,154000,Remote,United States,M
2022,Senior,FT,Data Engineer,126000,Remote,United States,M
2022,Senior,FT,Data Analyst,129000,In-person,United States,M
2022,Senior,FT,Data Analyst,150000,Remote,United States,M
2022,Mid,FT,AI Scientist,200000,Remote,United States,L
